userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10005149@N03,1,21,1273189220,1273189670,2,2,450
10005149@N03,1,19,1273196253,1273196673,1,2,420
10005149@N03,2,2,1273281442,1273281532,2,2,90
10005149@N03,2,4,1273291600,1273292500,1,2,900
100063617@N06,3,27,1450997221,1450998421,1,1,1200
10008488@N07,4,10,1353803001,1353803421,2,4,420
10008488@N07,4,14,1353805071,1353805191,2,4,120
10008488@N07,4,9,1353805944,1353806184,2,4,240
10008488@N07,4,27,1353816367,1353817567,2,4,1200
10008488@N07,5,23,1354149324,1354149414,1,1,90
10008488@N07,6,27,1354428271,1354429471,4,8,1200
10008488@N07,6,14,1354434439,1354434559,2,8,120
10008488@N07,6,15,1354435579,1354435759,2,8,180
10008488@N07,6,14,1354435843,1354435963,2,8,120
10008488@N07,6,15,1354436727,1354436907,2,8,180
10008488@N07,6,16,1354439014,1354439734,3,8,720
10008488@N07,6,18,1354439892,1354441692,2,8,1800
10008488@N07,6,27,1354445825,1354447025,13,8,1200
10019322@N03,7,16,1257065143,1257065863,1,1,720
10024384@N04,8,9,1263720566,1263720608,2,2,42
10024384@N04,8,16,1263720608,1263721328,1,2,720
10024384@N04,9,6,1299204515,1299204770,2,2,255
10024384@N04,9,2,1299204970,1299205060,1,2,90
10024384@N04,10,24,1367998824,1367999304,1,1,480
10024384@N04,11,27,1381740690,1381741890,4,1,1200
100346942@N08,12,27,1376898876,1376900076,1,1,1200
100354657@N04,13,27,1363422344,1363423544,1,1,1200
100363554@N07,14,27,1471729077,1471730277,1,1,1200
100436193@N03,15,20,1419285841,1419286921,3,4,1080
100436193@N03,15,4,1419300133,1419301033,2,4,900
100436193@N03,15,3,1419305479,1419305749,2,4,270
100436193@N03,15,17,1419315205,1419316585,1,4,1380
100448554@N06,16,14,1370860298,1370860322,2,3,24
100448554@N06,16,12,1370860322,1370860404,3,3,82
100448554@N06,16,13,1370860404,1370861004,1,3,600
100448554@N06,17,14,1370916583,1370916703,3,1,120
100448554@N06,18,27,1371063855,1371065055,2,1,1200
100448554@N06,19,27,1371108291,1371109491,1,1,1200
100448554@N06,20,14,1371180587,1371180707,2,3,120
100448554@N06,20,10,1371207566,1371207986,2,3,420
100448554@N06,20,14,1371215943,1371216063,1,3,120
100448554@N06,21,14,1371395012,1371395132,1,1,120
100448554@N06,22,14,1376723103,1376723223,12,1,120
100448554@N06,23,27,1376818230,1376819430,3,1,1200
100459519@N02,24,10,1430571542,1430571962,2,2,420
100459519@N02,24,14,1430575063,1430575183,1,2,120
100459519@N02,25,9,1462269575,1462269815,1,1,240
100459519@N02,26,27,1462312739,1462313939,1,1,1200
100459519@N02,27,26,1462460505,1462460685,1,1,180
100459519@N02,28,23,1462792291,1462792381,1,1,90
10047035@N00,29,16,1302118486,1302119206,22,1,720
100483258@N08,30,16,1407673826,1407674546,1,1,720
10048675@N02,31,26,1234302592,1234302772,3,1,180
10048675@N02,32,17,1234568662,1234570004,3,2,1342
10048675@N02,32,4,1234570004,1234570904,4,2,900
100506822@N02,33,27,1387666161,1387667361,1,1,1200
100506822@N02,34,15,1387696062,1387696242,3,1,180
100506822@N02,35,16,1388007949,1388008050,3,4,101
100506822@N02,35,14,1388008050,1388008170,5,4,120
100506822@N02,35,16,1388008499,1388009219,6,4,720
100506822@N02,35,14,1388009369,1388009489,12,4,120
100597270@N04,36,27,1430889471,1430890671,1,1,1200
100606614@N05,37,16,1406739929,1406740649,3,1,720
10061441@N03,38,3,1229532977,1229533247,2,1,270
100620414@N03,39,27,1461887277,1461888477,3,10,1200
100620414@N03,39,14,1461889222,1461889342,4,10,120
100620414@N03,39,10,1461891328,1461891748,5,10,420
100620414@N03,39,11,1461892174,1461892354,6,10,180
100620414@N03,39,3,1461895537,1461895807,2,10,270
100620414@N03,39,19,1461904107,1461904527,3,10,420
100620414@N03,39,20,1461904633,1461905713,2,10,1080
100620414@N03,39,27,1461906893,1461908093,13,10,1200
100620414@N03,39,14,1461926851,1461926971,3,10,120
100620414@N03,39,27,1461933034,1461934234,2,10,1200
100620414@N03,40,27,1467257231,1467258431,1,1,1200
100657680@N02,41,16,1383996109,1383996829,1,1,720
100657680@N02,42,16,1392462154,1392462874,1,1,720
100691062@N08,43,27,1403163483,1403164683,5,1,1200
100691062@N08,44,27,1403227687,1403228887,10,1,1200
100691062@N08,45,27,1403296202,1403297402,2,1,1200
100747900@N02,46,27,1322270664,1322271864,1,1,1200
100775193@N08,47,13,1386364147,1386364747,1,1,600
100775193@N08,48,27,1393227213,1393228413,1,1,1200
100775193@N08,49,14,1397600255,1397600375,2,2,120
100775193@N08,49,6,1397613439,1397613694,1,2,255
100775237@N03,50,17,1309442400,1309442400,2,3,0
100775237@N03,50,20,1309442400,1309442400,2,3,0
100775237@N03,50,27,1309442400,1309443600,1,3,1200
100775237@N03,51,17,1341064800,1341064800,3,2,0
100775237@N03,51,27,1341064800,1341066000,2,2,1200
100775237@N03,52,8,1372600800,1372600800,2,3,0
100775237@N03,52,18,1372600800,1372600800,2,3,0
100775237@N03,52,27,1372600800,1372602000,4,3,1200
100775237@N03,53,4,1373064754,1373065654,2,2,900
100775237@N03,53,27,1373078565,1373079765,2,2,1200
100775237@N03,54,17,1373285945,1373287325,2,2,1380
100775237@N03,54,27,1373290977,1373292177,1,2,1200
100775237@N03,55,27,1405584680,1405585812,2,3,1132
100775237@N03,55,14,1405585812,1405585932,2,3,120
100775237@N03,55,26,1405590389,1405590569,2,3,180
100775237@N03,56,27,1405680539,1405681739,1,1,1200
100775237@N03,57,9,1405900379,1405900619,3,6,240
100775237@N03,57,14,1405901957,1405902077,2,6,120
100775237@N03,57,9,1405902093,1405902333,2,6,240
100775237@N03,57,21,1405906221,1405906671,2,6,450
100775237@N03,57,20,1405909839,1405910919,2,6,1080
100775237@N03,57,17,1405911450,1405912830,1,6,1380
100822654@N07,58,10,1400800209,1400800378,3,8,169
100822654@N07,58,9,1400800378,1400800618,2,8,240
100822654@N07,58,10,1400800685,1400800772,2,8,87
100822654@N07,58,9,1400800772,1400801012,5,8,240
100822654@N07,58,21,1400823196,1400823646,3,8,450
100822654@N07,58,4,1400835334,1400836234,2,8,900
100822654@N07,58,27,1400839678,1400840878,4,8,1200
