userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10000151@N02,1,17,1445055661,1445056081,1,1,420
10004778@N07,2,7,1365918281,1365918401,1,1,120
10013542@N02,3,17,1429426348,1429426768,1,1,420
100344010@N06,4,24,1354336114,1354337614,1,1,1500
100373287@N02,5,6,1407466438,1407466558,1,1,120
100373287@N02,6,25,1407496883,1407498983,1,1,2100
100432722@N02,7,12,1434582533,1434582803,1,1,270
100448554@N06,8,22,1355980080,1355980147,2,2,67
100448554@N06,8,13,1355980147,1355980447,1,2,300
100448554@N06,9,19,1356079286,1356079826,3,2,540
100448554@N06,9,16,1356087077,1356087497,1,2,420
100448554@N06,10,12,1356132432,1356132702,2,3,270
100448554@N06,10,10,1356140843,1356140993,2,3,150
100448554@N06,10,24,1356169614,1356171114,1,3,1500
100459519@N02,11,24,1398077941,1398079441,1,1,1500
10050886@N06,12,12,1344569913,1344570183,3,2,270
10050886@N06,12,16,1344600391,1344600811,1,2,420
100548895@N03,13,7,1453792770,1453792890,1,1,120
100548895@N03,14,7,1453956474,1453956594,1,1,120
10055157@N02,15,17,1338365524,1338365944,2,2,420
10055157@N02,15,7,1338373675,1338373795,1,2,120
10055157@N02,16,12,1356693316,1356693586,1,1,270
10055157@N02,17,12,1357819194,1357819464,1,1,270
10055157@N02,18,13,1430292770,1430293070,2,2,300
10055157@N02,18,23,1430294018,1430295218,1,2,1200
10055157@N02,19,13,1462920696,1462920996,2,2,300
10055157@N02,19,7,1462935357,1462935477,1,2,120
10062483@N05,20,8,1336354340,1336354460,2,3,120
10062483@N05,20,2,1336354776,1336354777,2,3,1
10062483@N05,20,9,1336354777,1336354897,1,3,120
100632664@N02,21,12,1467130154,1467130424,1,1,270
10079095@N04,22,13,1339139126,1339139426,4,5,300
10079095@N04,22,22,1339139966,1339140096,2,5,130
10079095@N04,22,12,1339140096,1339140366,2,5,270
10079095@N04,22,4,1339160823,1339160913,2,5,90
10079095@N04,22,12,1339167648,1339167918,1,5,270
100800732@N07,23,16,1405811865,1405812285,1,1,420
100800732@N07,24,10,1405858518,1405858668,1,1,150
10104403@N00,25,6,1252645595,1252645715,44,1,120
10104403@N00,26,6,1252739690,1252739810,25,1,120
10104403@N00,27,16,1313669418,1313669838,1,1,420
