userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10005149@N03,1,5,1274095158,1274096058,1,1,900
10008488@N07,2,6,1354345925,1354346945,2,1,1020
100320969@N08,3,2,1375140897,1375141287,200,1,390
100354657@N04,4,8,1363864004,1363865144,1,1,1140
10039169@N06,5,4,1202198535,1202199435,2,1,900
100436193@N03,6,1,1419228064,1419228154,1,1,90
100448554@N06,7,2,1340768886,1340769276,1,1,390
100459519@N02,8,1,1430730654,1430730744,1,1,90
100459519@N02,9,1,1462967483,1462967573,13,1,90
100483258@N08,10,6,1408182937,1408183957,1,1,1020
10048675@N02,11,5,1233440737,1233441637,2,2,900
10048675@N02,11,8,1233454191,1233455331,1,2,1140
10048675@N02,12,2,1234477057,1234477447,4,2,390
10048675@N02,12,8,1234478064,1234479204,1,2,1140
10048675@N02,13,5,1234555645,1234556545,1,1,900
100506822@N02,14,6,1387783960,1387784743,4,2,783
100506822@N02,14,4,1387784743,1387785643,6,2,900
100620414@N03,15,8,1461545701,1461545704,2,4,3
100620414@N03,15,11,1461545704,1461547204,2,4,1500
100620414@N03,15,8,1461549014,1461550154,3,4,1140
100620414@N03,15,5,1461551576,1461552476,8,4,900
100691062@N08,16,13,1403232016,1403233816,1,1,1800
100747900@N02,17,1,1312430318,1312430408,1,1,90
100775193@N08,18,12,1384806405,1384807905,1,1,1500
100775193@N08,19,4,1401150188,1401151088,1,1,900
100775237@N03,20,1,1341064800,1341064800,3,6,0
100775237@N03,20,4,1341064800,1341064800,2,6,0
100775237@N03,20,5,1341064800,1341064800,2,6,0
100775237@N03,20,8,1341064800,1341064800,2,6,0
100775237@N03,20,10,1341064800,1341064800,3,6,0
100775237@N03,20,13,1341064800,1341066600,1,6,1800
100775237@N03,21,1,1372600800,1372600800,2,4,0
100775237@N03,21,5,1372600800,1372600800,2,4,0
100775237@N03,21,9,1372600800,1372600800,4,4,0
100775237@N03,21,10,1372600800,1372602300,1,4,1500
100775237@N03,22,10,1405491145,1405492645,3,4,1500
100775237@N03,22,6,1405496170,1405497190,3,4,1020
100775237@N03,22,9,1405504983,1405506483,4,4,1500
100775237@N03,22,1,1405507959,1405508049,1,4,90
100775237@N03,23,5,1405728273,1405728313,2,4,40
100775237@N03,23,10,1405728313,1405729813,2,4,1500
100775237@N03,23,13,1405730809,1405731475,2,4,666
100775237@N03,23,1,1405731475,1405731565,1,4,90
100775237@N03,24,9,1405853910,1405855410,3,2,1500
100775237@N03,24,1,1405859263,1405859353,2,2,90
100822654@N07,25,2,1400915809,1400915881,2,2,72
100822654@N07,25,8,1400915881,1400917021,1,2,1140
100822654@N07,26,4,1400958812,1400959712,7,5,900
100822654@N07,26,10,1400966179,1400967679,3,5,1500
100822654@N07,26,6,1400977027,1400977570,2,5,543
100822654@N07,26,10,1400977570,1400979070,6,5,1500
100822654@N07,26,6,1400979105,1400980125,3,5,1020
10084809@N04,27,10,1459769420,1459770920,1,1,1500
100948027@N07,28,13,1315211339,1315213139,1,1,1800
101044534@N02,29,1,1380943080,1380943170,2,2,90
101044534@N02,29,8,1380945700,1380946840,1,2,1140
101195207@N02,30,10,1466733859,1466735359,2,7,1500
101195207@N02,30,1,1466739658,1466739748,2,7,90
101195207@N02,30,5,1466739786,1466740686,5,7,900
101195207@N02,30,10,1466747635,1466749135,7,7,1500
101195207@N02,30,1,1466750092,1466750182,2,7,90
101195207@N02,30,8,1466750230,1466751370,3,7,1140
101195207@N02,30,2,1466752480,1466752870,8,7,390
101282917@N07,31,1,1372820336,1372820426,4,1,90
101324125@N05,32,8,1373085892,1373087032,3,4,1140
101324125@N05,32,12,1373089924,1373091424,5,4,1500
101324125@N05,32,4,1373096671,1373096711,2,4,40
101324125@N05,32,6,1373096711,1373097731,1,4,1020
101445497@N05,33,2,1222056461,1222056702,2,3,241
101445497@N05,33,1,1222056702,1222056792,3,3,90
101445497@N05,33,2,1222085178,1222085568,3,3,390
101445497@N05,34,1,1353301772,1353301862,3,3,90
101445497@N05,34,6,1353311101,1353312121,2,3,1020
101445497@N05,34,2,1353322793,1353323183,1,3,390
101445497@N05,35,8,1369526812,1369527078,2,2,266
101445497@N05,35,4,1369527078,1369527978,1,2,900
101445497@N05,36,6,1433049345,1433050365,2,7,1020
101445497@N05,36,2,1433052961,1433053351,4,7,390
101445497@N05,36,13,1433055154,1433056954,4,7,1800
101445497@N05,36,1,1433060042,1433060132,2,7,90
101445497@N05,36,6,1433063323,1433064343,2,7,1020
101445497@N05,36,2,1433064454,1433064844,3,7,390
101445497@N05,36,4,1433065021,1433065921,1,7,900
10156308@N03,37,6,1418888793,1418889813,10,2,1020
10156308@N03,37,9,1418894601,1418896101,3,2,1500
10156308@N03,38,8,1418955350,1418956490,1,1,1140
10156308@N03,39,6,1419154366,1419155386,2,1,1020
101593101@N02,40,6,1449044736,1449045756,1,1,1020
101644764@N07,41,2,1287618396,1287618786,1,1,390
10175710@N03,42,5,1374552797,1374553697,1,1,900
10183029@N00,43,8,1326671795,1326672935,65,1,1140
10196023@N00,44,8,1342984200,1342985340,1,1,1140
102284959@N03,45,1,1378513647,1378513737,3,1,90
102284959@N03,46,6,1380404127,1380405147,2,1,1020
102284959@N03,47,13,1443012610,1443014410,2,2,1800
102284959@N03,47,1,1443016325,1443016415,3,2,90
10259875@N03,48,1,1204290000,1204290000,2,4,0
10259875@N03,48,2,1204290000,1204290000,2,4,0
10259875@N03,48,8,1204290000,1204290000,2,4,0
10259875@N03,48,10,1204290000,1204291500,1,4,1500
10259875@N03,49,8,1206195892,1206197032,1,1,1140
10259875@N03,50,8,1206244114,1206245254,1,1,1140
10259875@N03,51,1,1231453610,1231453700,2,5,90
10259875@N03,51,2,1231457334,1231457724,2,5,390
10259875@N03,51,1,1231477200,1231477290,2,5,90
10259875@N03,51,12,1231479743,1231481243,2,5,1500
10259875@N03,51,8,1231494447,1231495587,1,5,1140
10259875@N03,52,1,1241348427,1241348517,2,1,90
10259875@N03,53,1,1262493314,1262493404,8,3,90
10259875@N03,53,9,1262504628,1262506128,5,3,1500
10259875@N03,53,1,1262506367,1262506457,1,3,90
10259875@N03,54,1,1262564319,1262564409,2,15,90
10259875@N03,54,10,1262565638,1262567011,5,15,1373
10259875@N03,54,5,1262567011,1262567911,8,15,900
10259875@N03,54,1,1262570921,1262571011,4,15,90
10259875@N03,54,13,1262588647,1262589042,2,15,395
10259875@N03,54,6,1262589042,1262590062,3,15,1020
10259875@N03,54,13,1262591122,1262591880,2,15,758
10259875@N03,54,1,1262591880,1262591970,2,15,90
10259875@N03,54,2,1262592780,1262593108,2,15,328
10259875@N03,54,11,1262593108,1262593171,2,15,63
10259875@N03,54,2,1262593171,1262593561,2,15,390
10259875@N03,54,5,1262595338,1262595557,2,15,219
10259875@N03,54,1,1262595557,1262595647,2,15,90
10259875@N03,54,8,1262597911,1262599051,4,15,1140
10259875@N03,54,2,1262600974,1262601364,1,15,390
10259875@N03,55,5,1274054985,1274055885,2,6,900
10259875@N03,55,1,1274056085,1274056175,2,6,90
10259875@N03,55,13,1274062221,1274064021,2,6,1800
10259875@N03,55,6,1274065705,1274066725,2,6,1020
10259875@N03,55,2,1274069480,1274069870,4,6,390
10259875@N03,55,1,1274081559,1274081649,2,6,90
10259875@N03,56,1,1303007011,1303007101,3,3,90
10259875@N03,56,10,1303029633,1303031133,2,3,1500
10259875@N03,56,9,1303033447,1303034947,1,3,1500
10259875@N03,57,5,1322174101,1322175001,2,5,900
10259875@N03,57,8,1322175464,1322176604,2,5,1140
10259875@N03,57,12,1322177115,1322178313,2,5,1198
10259875@N03,57,1,1322178313,1322178403,2,5,90
10259875@N03,57,10,1322179228,1322180728,1,5,1500
10259875@N03,58,11,1364599868,1364601368,5,3,1500
10259875@N03,58,1,1364605221,1364605311,2,3,90
10259875@N03,58,5,1364607299,1364608199,2,3,900
10259875@N03,59,8,1392689359,1392690499,4,6,1140
10259875@N03,59,6,1392691202,1392692222,3,6,1020
10259875@N03,59,1,1392699297,1392699387,2,6,90
10259875@N03,59,6,1392700944,1392701964,4,6,1020
10259875@N03,59,5,1392703614,1392704514,3,6,900
10259875@N03,59,1,1392706981,1392707071,3,6,90
10259875@N03,60,8,1428380197,1428381337,3,8,1140
10259875@N03,60,1,1428393713,1428393803,2,8,90
10259875@N03,60,5,1428395022,1428395321,2,8,299
10259875@N03,60,10,1428395321,1428396821,2,8,1500
10259875@N03,60,1,1428397836,1428397926,2,8,90
10259875@N03,60,13,1428398337,1428398691,2,8,354
10259875@N03,60,8,1428398691,1428399235,2,8,544
10259875@N03,60,1,1428399235,1428399325,2,8,90
10266387@N07,61,4,1422264791,1422265691,1,1,900
10295241@N02,62,1,1446963129,1446963219,1,1,90
10297435@N03,63,1,1340772037,1340772127,12,1,90
10310250@N02,64,10,1281664988,1281666488,1,1,1500
10350193@N07,65,6,1419593709,1419594729,5,1,1020
103792860@N03,66,4,1353211390,1353212290,7,1,900
103955312@N02,67,1,1402529256,1402529346,2,3,90
103955312@N02,67,5,1402549370,1402550270,4,3,900
103955312@N02,67,10,1402554444,1402555944,1,3,1500
10414404@N08,68,1,1406093648,1406093738,3,1,90
104152796@N05,69,5,1423632576,1423633476,2,2,900
104152796@N05,69,9,1423636670,1423638170,2,2,1500
