userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
10004778@N07,1,6,1308262550,1308262670,2,2,120
10004778@N07,1,26,1308270702,1308271602,1,2,900
10004778@N07,2,6,1308631356,1308631476,1,1,120
10004778@N07,3,26,1355568624,1355569524,1,1,900
10004778@N07,4,29,1373030964,1373031864,1,1,900
10024109@N08,5,26,1283735402,1283736302,4,1,900
100373287@N02,6,28,1407459897,1407460054,5,11,157
100373287@N02,6,18,1407460054,1407460504,3,11,450
100373287@N02,6,20,1407460984,1407461026,2,11,42
100373287@N02,6,18,1407461026,1407461302,2,11,276
100373287@N02,6,26,1407461302,1407461671,2,11,369
100373287@N02,6,6,1407461671,1407461791,2,11,120
100373287@N02,6,3,1407461827,1407461917,3,11,90
100373287@N02,6,21,1407462056,1407462626,4,11,570
100373287@N02,6,30,1407463402,1407464482,3,11,1080
100373287@N02,6,24,1407472411,1407473191,4,11,780
100373287@N02,6,26,1407477601,1407478501,2,11,900
100432722@N02,7,30,1379584100,1379585180,4,1,1080
100432722@N02,8,26,1431822642,1431823542,1,1,900
100432722@N02,9,21,1440162999,1440163569,1,1,570
100432722@N02,10,26,1447828035,1447828935,2,1,900
100448554@N06,11,26,1356054155,1356055055,2,6,900
100448554@N06,11,13,1356057534,1356057774,3,6,240
100448554@N06,11,3,1356058289,1356058379,2,6,90
100448554@N06,11,29,1356064526,1356064531,2,6,5
100448554@N06,11,19,1356064531,1356065071,5,6,540
100448554@N06,11,20,1356066458,1356066998,2,6,540
100448554@N06,12,1,1356148029,1356148089,2,2,60
100448554@N06,12,20,1356176141,1356176681,1,2,540
10055157@N02,13,25,1357818322,1357819162,2,3,840
10055157@N02,13,29,1357819349,1357819661,2,3,312
10055157@N02,13,26,1357819661,1357820561,1,3,900
10055157@N02,14,26,1389172537,1389173437,1,1,900
10055157@N02,15,7,1400213093,1400213273,1,1,180
10055157@N02,16,3,1462847579,1462847669,2,2,90
10055157@N02,16,5,1462857781,1462857901,1,2,120
10055157@N02,17,5,1462947575,1462947695,1,1,120
10062483@N05,18,15,1219741081,1219741351,1,1,270
10062483@N05,19,25,1260255084,1260255924,2,2,840
10062483@N05,19,28,1260257114,1260258014,1,2,900
10062483@N05,20,12,1336354341,1336354581,2,1,240
10062483@N05,21,15,1348450174,1348450175,2,2,1
10062483@N05,21,28,1348450175,1348451075,1,2,900
100632664@N02,22,26,1466604771,1466605671,1,1,900
100822654@N07,23,27,1389213865,1389213878,2,13,13
100822654@N07,23,20,1389213878,1389213887,2,13,9
100822654@N07,23,14,1389213887,1389213960,2,13,73
100822654@N07,23,29,1389213960,1389213977,2,13,17
100822654@N07,23,18,1389213977,1389213987,2,13,10
100822654@N07,23,20,1389213987,1389214021,2,13,34
100822654@N07,23,14,1389214021,1389214031,2,13,10
100822654@N07,23,29,1389214031,1389214040,2,13,9
100822654@N07,23,30,1389214040,1389214080,2,13,40
100822654@N07,23,17,1389214080,1389214140,2,13,60
100822654@N07,23,14,1389214140,1389214380,2,13,240
100822654@N07,23,28,1389218195,1389218207,2,13,12
100822654@N07,23,1,1389218207,1389218267,1,13,60
10084893@N02,24,28,1207728112,1207729012,5,2,900
10084893@N02,24,27,1207731367,1207732267,1,2,900
10084893@N02,25,28,1208051831,1208052731,2,1,900
100939753@N04,26,27,1392960174,1392961074,1,1,900
101006095@N07,27,29,1379392716,1379393616,1,1,900
10104403@N00,28,10,1252651318,1252651558,44,1,240
10104403@N00,29,10,1252749467,1252749707,43,2,240
10104403@N00,29,29,1252758364,1252759264,10,2,900
10104403@N00,30,18,1446047022,1446047472,1,1,450
10104914@N07,31,28,1191396957,1191397107,2,2,150
10104914@N07,31,23,1191397107,1191397707,1,2,600
101055171@N03,32,1,1401576129,1401576189,5,17,60
101055171@N03,32,27,1401578962,1401579862,3,17,900
101055171@N03,32,21,1401580251,1401580821,2,17,570
101055171@N03,32,5,1401581109,1401581229,2,17,120
101055171@N03,32,8,1401581573,1401581753,2,17,180
101055171@N03,32,26,1401581906,1401582343,2,17,437
101055171@N03,32,1,1401582343,1401582403,2,17,60
101055171@N03,32,13,1401586727,1401586967,2,17,240
101055171@N03,32,21,1401590219,1401590789,7,17,570
101055171@N03,32,7,1401593786,1401593966,2,17,180
101055171@N03,32,29,1401596876,1401597658,3,17,782
101055171@N03,32,20,1401597658,1401598198,2,17,540
101055171@N03,32,14,1401601114,1401601354,2,17,240
101055171@N03,32,28,1401621266,1401622166,4,17,900
101055171@N03,32,16,1401622216,1401622222,8,17,6
