userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
100049423@N05,1,11,1376565773,1376566733,1,1,960
100063617@N06,2,11,1451012071,1451013031,2,1,960
10008488@N07,3,17,1354153386,1354156086,1,1,2700
10008488@N07,4,5,1354580494,1354580914,1,1,420
100214981@N03,5,11,1374451523,1374452483,145,1,960
100214981@N03,6,11,1378167118,1378168078,1,1,960
100354657@N04,7,11,1363604909,1363605869,1,1,960
100363554@N07,8,11,1462850364,1462851324,1,1,960
100436193@N03,9,14,1419464468,1419465668,2,2,1200
100436193@N03,9,4,1419466160,1419466520,1,2,360
100448554@N06,10,10,1371363018,1371363918,1,1,900
100459519@N02,11,13,1462765469,1462766549,2,2,1080
100459519@N02,11,15,1462770945,1462772145,1,2,1200
100459519@N02,12,2,1462941587,1462941827,1,1,240
10048675@N02,13,10,1233348588,1233349488,3,1,900
10048675@N02,14,8,1233528573,1233529413,3,4,840
10048675@N02,14,10,1233531817,1233531829,2,4,12
10048675@N02,14,13,1233531829,1233532909,10,4,1080
10048675@N02,14,10,1233545712,1233546612,4,4,900
10048675@N02,15,1,1234142295,1234142535,2,2,240
10048675@N02,15,10,1234144700,1234145600,1,2,900
10048675@N02,16,8,1234314519,1234315359,2,6,840
10048675@N02,16,6,1234316806,1234317526,2,6,720
10048675@N02,16,8,1234324562,1234325402,2,6,840
10048675@N02,16,13,1234327057,1234328137,5,6,1080
10048675@N02,16,10,1234331502,1234332402,3,6,900
10048675@N02,16,13,1234336048,1234337128,11,6,1080
10048675@N02,17,13,1234504968,1234506048,4,5,1080
10048675@N02,17,1,1234506689,1234506929,3,5,240
10048675@N02,17,9,1234508181,1234509081,5,5,900
10048675@N02,17,1,1234510556,1234510796,10,5,240
10048675@N02,17,11,1234513275,1234514235,2,5,960
100506822@N02,18,15,1387860460,1387861379,3,3,919
100506822@N02,18,17,1387861379,1387864079,3,3,2700
100506822@N02,18,11,1387872225,1387873185,11,3,960
100506822@N02,19,6,1388056931,1388057651,2,1,720
100523630@N04,20,13,1384847821,1384848901,3,2,1080
100523630@N04,20,8,1384851704,1384852544,1,2,840
100524190@N04,21,8,1389855575,1389856415,1,1,840
10061441@N03,22,11,1229533072,1229534032,1,1,960
10061441@N03,23,13,1229627071,1229628151,1,1,1080
100620414@N03,24,11,1461712118,1461713078,9,11,960
100620414@N03,24,1,1461718283,1461718523,4,11,240
100620414@N03,24,5,1461719152,1461719572,4,11,420
100620414@N03,24,8,1461719960,1461720800,8,11,840
100620414@N03,24,13,1461723839,1461724800,6,11,961
100620414@N03,24,15,1461724800,1461724932,3,11,132
100620414@N03,24,17,1461724932,1461725228,2,11,296
100620414@N03,24,15,1461725228,1461726428,9,11,1200
100620414@N03,24,17,1461727211,1461727727,10,11,516
100620414@N03,24,10,1461727727,1461728627,8,11,900
100620414@N03,24,5,1461729208,1461729628,11,11,420
100657680@N02,25,5,1395530058,1395530478,1,1,420
10068791@N08,26,11,1251425652,1251426612,2,2,960
10068791@N08,26,14,1251430414,1251431614,1,2,1200
100692786@N04,27,11,1377225508,1377226468,1,1,960
100692786@N04,28,11,1394244306,1394245266,1,1,960
100692786@N04,29,17,1394928488,1394931188,1,1,2700
100692786@N04,30,11,1400360079,1400361039,1,1,960
10076246@N06,31,11,1209662791,1209663751,1,1,960
100775193@N08,32,2,1389753952,1389754192,1,1,240
100775237@N03,33,11,1311389608,1311390568,1,1,960
100775237@N03,34,3,1341064800,1341064800,2,2,0
100775237@N03,34,11,1341064800,1341065760,2,2,960
100775237@N03,35,11,1372600800,1372600800,2,2,0
100775237@N03,35,14,1372600800,1372602000,1,2,1200
100775237@N03,36,14,1405644303,1405644476,5,4,173
100775237@N03,36,3,1405644476,1405644806,8,4,330
100775237@N03,36,4,1405645010,1405645370,2,4,360
100775237@N03,36,11,1405653257,1405654217,4,4,960
100822654@N07,37,13,1400647105,1400648185,1,1,1080
100822654@N07,38,5,1400708131,1400708551,5,2,420
100822654@N07,38,4,1400733548,1400733908,1,2,360
100822654@N07,39,13,1400956813,1400957893,1,1,1080
10084809@N04,40,11,1459820341,1459821301,2,1,960
100948027@N07,41,8,1315281409,1315282249,7,2,840
100948027@N07,41,13,1315296132,1315297212,1,2,1080
101102803@N06,42,8,1344318648,1344319488,1,1,840
101118128@N08,43,17,1446957626,1446960326,1,1,2700
101195207@N02,44,11,1467023380,1467024340,3,1,960
10128570@N04,45,17,1218858723,1218861423,4,3,2700
10128570@N04,45,10,1218862691,1218863591,6,3,900
10128570@N04,45,8,1218879135,1218879975,4,3,840
101355546@N05,46,5,1433557433,1433557853,1,1,420
101445497@N05,47,11,1222265010,1222265970,2,1,960
101445497@N05,48,9,1316493033,1316493933,2,2,900
101445497@N05,48,11,1316519128,1316520088,1,2,960
101445497@N05,49,11,1316658792,1316659752,2,2,960
101445497@N05,49,9,1316662683,1316663583,1,2,900
101445497@N05,50,5,1353127016,1353127436,1,1,420
101445497@N05,51,13,1369536010,1369537090,2,2,1080
101445497@N05,51,1,1369545567,1369545807,1,2,240
101445497@N05,52,9,1380770999,1380771899,3,4,900
101445497@N05,52,17,1380775831,1380778531,2,4,2700
101445497@N05,52,8,1380790923,1380791763,3,4,840
101445497@N05,52,5,1380793304,1380793724,1,4,420
101445497@N05,53,10,1380876245,1380877145,2,2,900
101445497@N05,53,9,1380883314,1380884214,1,2,900
101445497@N05,54,3,1389334716,1389335046,2,2,330
101445497@N05,54,15,1389337291,1389338491,1,2,1200
101445497@N05,55,11,1433294694,1433295654,2,3,960
101445497@N05,55,5,1433301323,1433301743,3,3,420
101445497@N05,55,13,1433319502,1433320582,1,3,1080
101445497@N05,56,4,1452220565,1452220925,2,4,360
101445497@N05,56,8,1452224936,1452225776,2,4,840
101445497@N05,56,16,1452230529,1452232629,2,4,2100
101445497@N05,56,11,1452234523,1452235483,2,4,960
101473404@N07,57,11,1388726894,1388727854,3,3,960
101473404@N07,57,8,1388728274,1388729114,2,3,840
101473404@N07,57,11,1388751001,1388751961,1,3,960
101473404@N07,58,11,1453636986,1453637946,5,8,960
101473404@N07,58,15,1453638922,1453640122,2,8,1200
101473404@N07,58,10,1453642338,1453642608,5,8,270
101473404@N07,58,17,1453642608,1453642806,2,8,198
101473404@N07,58,15,1453642806,1453643037,2,8,231
101473404@N07,58,13,1453643037,1453644117,4,8,1080
101473404@N07,58,15,1453644137,1453644329,2,8,192
101473404@N07,58,10,1453644329,1453645229,1,8,900
10148198@N00,59,11,1388902220,1388903180,1,1,960
101503011@N06,60,2,1443749161,1443749401,3,4,240
101503011@N06,60,7,1443751173,1443751225,2,4,52
101503011@N06,60,2,1443751225,1443751465,2,4,240
101503011@N06,60,11,1443759456,1443760416,1,4,960
10156308@N03,61,15,1418971435,1418972635,2,2,1200
10156308@N03,61,1,1418988089,1418988329,3,2,240
10156308@N03,62,4,1419034591,1419034951,1,1,360
10175710@N03,63,11,1374103345,1374104305,2,2,960
10175710@N03,63,8,1374121822,1374122662,2,2,840
10182842@N08,64,11,1215141337,1215142297,3,1,960
10183029@N00,65,11,1326782023,1326782983,1,1,960
10183029@N00,66,11,1326836472,1326837432,152,1,960
101924327@N08,67,11,1416397007,1416397967,1,1,960
102284959@N03,68,11,1380404414,1380405374,2,1,960
102284959@N03,69,6,1398447381,1398448101,1,1,720
102284959@N03,70,11,1443166515,1443167475,1,1,960
102284959@N03,71,11,1443703316,1443704276,2,3,960
102284959@N03,71,8,1443717629,1443718469,3,3,840
102284959@N03,71,11,1443719121,1443720081,3,3,960
102284959@N03,72,11,1450759509,1450760469,1,1,960
10245322@N05,73,11,1197675088,1197676048,1,1,960
10245322@N05,74,8,1197780519,1197781359,1,1,840
10259875@N03,75,11,1204290000,1204290000,2,2,0
10259875@N03,75,13,1204290000,1204291080,1,2,1080
10259875@N03,76,15,1206233100,1206234300,1,1,1200
10259875@N03,77,10,1231370678,1231371578,2,5,900
10259875@N03,77,2,1231387716,1231387956,2,5,240
10259875@N03,77,11,1231389573,1231390533,2,5,960
10259875@N03,77,10,1231404055,1231404955,3,5,900
10259875@N03,77,11,1231411174,1231412134,1,5,960
10259875@N03,78,11,1262515088,1262516048,3,1,960
10259875@N03,79,11,1262645553,1262646033,2,6,480
10259875@N03,79,4,1262646033,1262646393,5,6,360
10259875@N03,79,11,1262647689,1262648649,3,6,960
10259875@N03,79,5,1262664288,1262664708,2,6,420
10259875@N03,79,8,1262667656,1262668496,2,6,840
10259875@N03,79,13,1262675473,1262676553,1,6,1080
10259875@N03,80,5,1273991643,1273992063,2,8,420
10259875@N03,80,10,1273993136,1273993418,2,8,282
10259875@N03,80,8,1273993418,1273994258,3,8,840
10259875@N03,80,13,1274003541,1274004621,10,8,1080
10259875@N03,80,15,1274004836,1274004978,2,8,142
10259875@N03,80,17,1274004978,1274005061,2,8,83
