9,17,29,20,15,19,1,8,12,14
9,18,29,15,3,8,19,24,11,14
9,17,29,20,3,19,1,11,10,14
-1
15,19,29,23,17,14,16,1,24,9
15,19,29,23,17,14,13,8,12,9
15,19,29,23,17,14,16,1,2,9
-1
11,29,9,4,2,8,7,18,16,3
11,23,29,9,15,12,8,19,24,3
11,29,9,4,2,18,19,8,16,3
-1
9,18,29,15,3,8,19,14,16,10
9,17,29,20,3,19,1,8,12,10
9,18,29,15,3,8,19,24,11,10
-1
10,19,9,29,1,21,14,11,18,7
10,19,9,29,1,21,2,6,15,7
10,19,9,29,1,21,14,11,15,7
-1
18,29,3,9,14,15,19,8,22,10
18,29,3,9,14,8,7,15,11,10
18,29,3,9,14,15,8,19,1,10
-1
3,9,8,11,1,21,12,15,29,18
3,9,8,11,1,16,12,2,19,18
3,16,9,15,12,8,19,24,29,18
-1
3,8,9,18,15,21,2,20,29,10
3,9,8,11,1,21,18,16,29,10
3,8,9,18,15,21,2,24,19,10
-1
12,1,3,29,9,27,15,17,18,19
12,1,3,29,9,20,15,16,8,19
12,1,3,29,9,27,11,17,15,19
-1
3,9,8,11,1,21,18,16,29,23
3,8,9,18,15,21,2,20,29,23
3,9,8,11,1,21,18,15,29,23
-1
29,4,1,8,15,9,12,16,2,19
29,9,1,15,3,18,10,8,16,19
29,4,1,9,18,8,7,15,21,19
-1
17,9,29,1,16,14,15,23,19,28
17,29,1,9,18,15,16,8,24,28
17,23,29,9,15,11,8,19,12,28
-1
29,4,1,19,9,25,3,15,18,17
29,4,1,19,9,25,3,18,15,17
29,4,1,19,9,25,3,18,21,17
-1
4,2,29,5,9,27,17,11,28,10
4,2,29,5,9,14,23,15,7,10
4,2,29,5,9,14,19,18,8,10
-1
6,9,1,11,20,16,18,8,24,29
6,16,22,1,9,15,12,18,19,29
6,9,1,11,20,16,18,12,24,29
-1
29,4,1,19,9,25,3,15,18,28
29,4,1,19,9,25,3,8,18,28
29,4,1,19,9,25,3,18,21,28
-1
8,9,12,21,15,17,18,16,29,24
8,18,29,15,9,2,19,28,11,24
8,9,18,21,15,20,12,6,11,24
-1
3,9,8,11,1,21,18,15,29,19
3,28,8,9,18,15,7,16,1,19
3,8,9,18,15,21,2,20,7,19
-1
15,17,19,9,8,29,18,12,20,1
15,29,17,9,3,19,14,8,16,1
15,29,19,9,23,3,28,2,11,1
-1
10,19,9,29,1,21,14,16,22,23
10,19,9,29,15,21,14,11,3,23
10,19,9,29,1,21,18,20,15,23
-1
15,29,19,9,23,11,4,2,10,12
15,17,19,9,8,29,7,14,2,12
15,17,29,9,3,19,1,8,18,12
-1
15,17,29,9,3,19,1,8,18,28
15,29,19,9,23,11,4,2,10,28
15,17,19,9,8,29,7,14,11,28
-1
1,24,29,9,17,15,3,8,19,4
1,24,29,9,17,23,3,16,21,4
1,29,18,9,15,8,11,19,12,4
-1
8,9,12,21,15,17,18,16,29,1
8,9,18,21,15,20,12,6,11,1
8,18,29,15,9,2,19,24,11,1
-1
19,16,29,8,12,14,15,1,22,9
19,23,16,24,3,20,29,6,8,9
19,23,29,4,15,8,16,18,1,9
-1
13,29,1,16,9,15,8,11,22,19
13,29,1,16,9,3,20,8,6,19
13,29,1,16,9,15,8,11,12,19
-1
